crID	flank	n_reads	raw_sites	sites	sv_sites	pairs_decided	n_groups	grouped_frac	sizes	secs	assigned_trio_frac	acc_asg	split_err_asg	join_err_asg	cur_n	ari_vs_cur	trio_n	trio_pat	trio_mat	acc_new	split_err_new	join_err_new	acc_cur	split_err_cur	join_err_cur	error	_labels
0	5000	21	337	355	20	0.976	2	1.0	11,10	0.5	1.0	1.0	0.0	0.0	2	1.0	21	11	11	1.0	0.0	0.0	1.0	0.0	0.0		{"16bf86be-438c-4d6d-a915-198de0f8f96c": 0, "24b6c8fd-77ee-4197-810b-0fa5218c41ad": 0, "2bfadfd7-c7df-4ae5-bac8-72fadd72525c": 0, "2f22f01a-d9ef-4f6c-98fa-6887b420353f": 0, "32a3452e-f39e-45fb-8fe9-358086f2a780": 0, "36cfc2e1-c6b5-49ef-bf75-a59047b81f60": 1, "48c1b772-5f36-40e7-8d9c-085ef591c56f": 1, "5b6ab076-7a14-411f-a338-673fa4035f0a": 0, "67b525ad-8b0b-4249-af1a-0febcc082b8e": 0, "6ec6f7e4-a21e-43fe-b9e9-3954d6fc7f33": 0, "7063aea2-6eea-4eac-9c77-360bf9d73206": 1, "7fbc8d80-fe56-42fa-a61d-298b6778374a": 1, "a37d8c2a-1310-4b71-ba0d-ed4b83ee18c8": 1, "aef34cfc-d35f-4ab3-a601-9e28962c3121": 1, "b594face-c5f0-4ff7-a4bd-fb719b507ed7": 0, "b8f73350-02e1-4579-86f1-8fca40d2b8f9": 0, "c05c6878-b105-46d6-9e59-53acf4e871ec": 1, "c9cc2a2c-c4a8-4062-819d-cba4bdcd5a28": 1, "cb96522f-05ad-4285-8680-bd154b03b3b5": 0, "d26b30e5-ce7c-453a-b53a-87ce9957d25f": 1, "e4b0616d-7f92-45e2-8797-88321a6b946f": 1}
1	5000	26	35	49	24	0.985	2	0.885	12,11,2,1	1.1	0.818	1.0	0.0	0.0	2	0.783	11	4	9	0.836	0.333	0.0	1.0	0.0	0.0		{"02b47593-8594-4e7c-9961-fd9bdfeca4bb": 0, "02f7454b-76a7-47f5-9826-b80ed471c67c": 0, "0f21ca0b-23e0-4ca3-bed2-2937212b7f26": 1, "1a35dbf4-bc30-4ee7-be10-37224050d94b": 1, "282c2d62-a991-4005-90a0-dee1ee36ea9d": 0, "2cbd30a7-8c18-48d4-af7a-8a43f0be2c62": 0, "332e39d5-77d6-41f3-8901-8abf2191a6c0": 1, "383387b1-128f-4e9f-886d-924457067fc6": 0, "392e901c-0b08-4a79-8306-b285e8c7138b": 1, "431f274f-1b6d-45e4-b2c4-59eb02d40983": 1, "46016e3e-9aab-4440-bdfa-433f4ea707aa": 1, "51d553ef-54b8-45b2-a6c3-d04bc08910b9": 0, "5680d79e-c880-4c6b-b9fe-729761581916": 1, "6a0c8e15-f745-4e43-b160-8bc8c793391c": 1, "76ab2810-6449-49e1-84fd-9e377885ef23": 0, "7a684e8a-738d-4914-a564-b89a7a71bd3e": 0, "7d9463d8-b973-4958-bfea-76d053477cb3": 0, "964c5a2c-84ae-48c6-b8e4-bc7616e07518": -1, "97cd99c6-ff36-4a84-806a-4117375addf4": 0, "a2799313-0320-4c67-8cbf-d1cc91847e21": 1, "a999a8dc-686e-4a95-afb3-14f01f51c5ab": 1, "b37ec97a-a457-4206-9981-744cc0e2e56a": -1, "c44b09fe-5d8d-479e-9b3b-950f692fd92e": 0, "d80dd313-ed88-4a2b-af1a-8dbee75c28af": 0, "e2f391c6-94e4-4af1-9e37-c07d6ad2d19c": -1, "fe89f87a-5953-423f-bfed-a5d6a957ff5c": 1}
2	5000	18	299	300	14	0.882	2	0.944	9,8,1	0.4	0.944	1.0	0.0	0.0	2	0.894	18	9	12	0.941	0.123	0.0	0.889	0.123	0.1		{"1f54b59c-f314-424a-b4ff-2a8ac06a5959": 0, "28d1aa29-38fc-4747-835e-80bc65370d05": 1, "2afe53d5-5ee4-4f59-bda8-fc95a6a22a5e": 0, "2b3345d9-8dd4-48f3-94bf-8b99bc696a95": 0, "2e59df6a-5518-4ed0-baa2-65608bec36e1": 1, "34142215-9e6a-4b07-98b7-c05bf6d638d4": -1, "3e3ba44c-e18d-4554-9801-edba9f2fc1c4": 1, "4b9e7b5b-a920-4bf6-b57d-d008ee36e4bc": 0, "508fbdf5-2b94-4871-af23-3a5818c55f49": 1, "5320c645-ffc0-4fa2-9640-8f0365474a67": 0, "5702a054-bb15-4475-856e-409abc7658bd": 0, "5c4e3dd1-08de-4c66-8374-7c8b95493286": 1, "761a6e9f-2914-46f1-9e2f-3ab36c2b3fa2": 1, "94759eab-2d81-4d85-ae04-3d45cd36d829": 0, "b44f4d24-619f-4fbe-ac7b-f8330ed46295": 1, "d2e05e77-70bd-4ad3-9a2a-56cc58919f3e": 0, "eab850b9-835f-4b95-8e4c-dc4f044f4a85": 1, "ee94f09e-9fdc-4f86-bdfe-97d8daefec5d": 0}
3	5000	21	128	141	22	1.0	2	1.0	11,10	0.5	1.0	1.0	0.0	0.0	2	1.0	21	13	12	1.0	0.0	0.0	1.0	0.0	0.0		{"0bdb3198-eb14-4116-8deb-760b6405e815": 0, "0c86a0dd-d325-457c-9966-3b51d1cc1ab8": 0, "0d56c49d-8c7d-4904-bc98-ecb66fc7e5f8": 1, "0e69a408-2620-40a3-8135-e1d964005ede": 1, "1f944e28-e0a9-4f07-8eb2-35bb390e6ab5": 0, "26511d78-2c29-4551-aa04-b0b7bc9c566f": 0, "28b90adf-62d5-422c-a45f-9810cacff368": 0, "630dafd1-273c-4058-a8ee-880124f16d24": 1, "6d48f856-e005-41cb-9df2-ff9b8a21b2f5": 1, "71eb4119-f02b-46e2-98c7-e1d2d412d666": 1, "8faac6d2-dda2-4416-83b6-52ad80b0473f": 0, "9227c5c9-15e9-437a-9bca-b8d68d8ab01e": 0, "a7069917-e3a4-4d6d-b593-3ca523f1fb11": 1, "bc3fbcf5-45ed-460f-b08f-fee35981d33c": 1, "c2cdfb4c-163d-48b5-ba3a-7026512c7614": 1, "ccf9cecc-0365-442d-892f-e1dd29d0700b": 0, "cf8ddded-612a-4447-8cf8-4938ad42d0cc": 0, "e05da643-9f5f-49fd-afc5-181b91b1e955": 0, "e0a93671-a009-4d81-9e3e-7ac10799e4d7": 1, "e9a9cdeb-63e7-400e-a058-2398dfbcd114": 1, "eee6a5b0-97ea-4ab9-bedb-5a24d72a74bd": 0}
4	5000	24	133	133	26	0.982	2	0.917	12,10,2	0.6	1.0	1.0	0.0	0.0	2	0.826	22	13	10	1.0	0.0	0.0	1.0	0.0	0.0		{"0bdb3198-eb14-4116-8deb-760b6405e815": 0, "0d56c49d-8c7d-4904-bc98-ecb66fc7e5f8": 1, "0e69a408-2620-40a3-8135-e1d964005ede": 1, "14a2bcec-7da6-4b26-86a2-321bcd47dc72": 1, "1f944e28-e0a9-4f07-8eb2-35bb390e6ab5": 0, "26511d78-2c29-4551-aa04-b0b7bc9c566f": 0, "28b90adf-62d5-422c-a45f-9810cacff368": 0, "44b44f71-f706-467a-8b7e-08a43dfe4af1": -1, "464c6679-e51a-4aac-a646-7057cd1a0c8f": -1, "630dafd1-273c-4058-a8ee-880124f16d24": 1, "71eb4119-f02b-46e2-98c7-e1d2d412d666": 1, "8faac6d2-dda2-4416-83b6-52ad80b0473f": 0, "9227c5c9-15e9-437a-9bca-b8d68d8ab01e": 0, "9c356c74-359e-47f6-9ad0-8e7225d72581": 1, "a1cb7815-fc10-45d1-ad1c-97cc90464f2e": 0, "a7069917-e3a4-4d6d-b593-3ca523f1fb11": 1, "ad610688-07f5-439f-85ba-de0b374c65bd": 1, "baa6b7c4-e463-4657-97df-6905d0890a0b": 1, "bc5656bb-36d6-4419-96ed-75dcb8fa8f69": 0, "c2cdfb4c-163d-48b5-ba3a-7026512c7614": 1, "ccf9cecc-0365-442d-892f-e1dd29d0700b": 0, "cf8ddded-612a-4447-8cf8-4938ad42d0cc": 0, "e0a93671-a009-4d81-9e3e-7ac10799e4d7": 1, "e9a9cdeb-63e7-400e-a058-2398dfbcd114": 1}
5	5000	22	178	192	21	1.0	2	1.0	15,7	0.6	1.0	1.0	0.0	0.0	2	1.0	21	16	7	1.0	0.0	0.0	1.0	0.0	0.0		{"11a6e05a-c2e5-4e8d-b8c0-de6aaa0a8704": 0, "31711ca2-2d2b-4e29-9559-bd44421cc260": 0, "3802556f-cfe1-436f-ab64-d6a4ab6c7419": 0, "3db26494-3b88-4dd9-928a-cef12fcc4b3c": 1, "3eed0a65-e800-4764-bf91-bcfee0484f13": 0, "42551bd1-5679-4009-bfd8-f2c01da149a8": 0, "5522d28c-cb46-4b0e-a191-cc349908670f": 0, "5562fc5b-2bec-4055-a674-36544ceee274": 1, "77f11acf-2efd-4f17-94b2-d7251fdbcfb7": 1, "7ca868b3-4814-4188-bdc0-b49d67e0c886": 0, "8c8cb4a0-99f3-4fc6-9636-0e8a8636fd8b": 0, "8dd135d0-b7f8-4d89-8fa1-41768817fb85": 1, "9ff68611-d56b-471b-8fd5-7c77af8131c0": 0, "a595a4eb-eb67-4ef7-9330-4159df2fde51": 1, "a674336f-80d0-4fa5-992c-7605bb61d178": 0, "b0d0941f-5c2a-44fd-9e1d-a389092a6a81": 0, "c0c863d1-4fa8-4872-bf2d-b5304779bf14": 0, "d2cc7741-94bc-4bec-bce4-2ac4024a25dc": 0, "d44dc1b2-f537-4c8b-8a4e-5994619dc248": 1, "d9433348-6b0f-4fdb-8cbd-1f63678c26b3": 0, "dfe3acd0-d6dc-40eb-b77d-e94bf74df2e7": 0, "fc325528-6bd7-456c-92c7-a53cbc0b24ba": 1}
6	5000	23	18	2	0	0.059	1	0.348	8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0.5	0.312	1.0	0.0	nan	2	-0.024	16	11	7	0.608	0.825	0.0	0.475	0.0	1.0		{"168ddc82-40d4-4782-a06c-0d546513a411": -1, "1c24ae54-6884-4bfd-bc0c-fbba8571dd88": -1, "3633c16d-3d0a-4050-a078-323015578614": -1, "3bdcf329-66d9-4547-b82b-5e55e4032d32": 3, "3d7a6b38-604a-4218-97c0-39f07d791d39": -1, "41df3652-ee1f-4e76-967e-628d1561a06d": 3, "422bb471-7584-4cc3-9fdc-f1e0d94980c5": 3, "4720d419-5145-4042-96ba-c685cb7e66db": -1, "52d6c9ab-d915-494d-8dd3-b2dd0c8edf22": 3, "600f8fe6-6db8-4268-9b70-e7439ffdf5cf": -1, "6cffa686-55bb-4ac2-8334-689f78ed88de": 3, "6f82aa85-9564-4cd4-a5f7-d073f458de29": 3, "71c3f8ca-15b8-4a3c-9aed-b2b545145394": 3, "77bece8b-2329-4a73-82b5-62c85ce1ea27": -1, "8bc6b4bb-3887-4e7e-86a0-d8f09f720726": 3, "8f3a019b-96f2-4172-a789-3974c92f6aca": -1, "90973930-ed86-40cd-b655-daf8fded2623": -1, "ae8caa25-0c2a-4457-a8d1-55cd4d3e4baa": -1, "b0f450fa-8b6f-4bb0-a37d-e2f860ddcb23": -1, "c17dbaf6-8c84-48ab-8946-4ef7d884c19a": -1, "c20cebde-4732-4b69-8f63-1c9b1037691e": -1, "d5ed3f02-c4a8-484b-a09e-bfaae8a24512": -1, "d63ba137-b833-4906-a230-92be0ca42283": -1}
7	5000	19	116	129	15	0.977	2	1.0	14,5	0.6	1.0	1.0	0.0	0.0	2	1.0	19	5	14	1.0	0.0	0.0	1.0	0.0	0.0		{"02ebf6c1-672e-433b-8db5-9b4e898fb120": 0, "08d54574-9e87-4ea9-b383-a9f3897abe3e": 0, "2897833b-29de-4c1a-8e08-cdda8ed3e666": 0, "36ce80f4-137d-4d45-8cb2-6e91dacae75e": 0, "7029a9a3-b7f3-494c-9eac-2305add36048": 0, "80b527ff-9a87-4c1d-b22c-db8deb51a3c7": 0, "8155ae2c-ceb9-493b-8ed3-ab6a4b942221": 0, "86e03b59-9c07-41ad-83a2-92aba5d787d3": 1, "948cffd1-2983-4982-86e4-aa5769bb2093": 1, "94a3760c-575c-448d-83b2-dc04ac37def1": 1, "9fa4a553-b6b9-4263-8904-c0b4396664e1": 0, "a001f270-5ff8-44bb-af8b-ff69a588dcfc": 0, "a904cb10-3f6e-4e5e-a0e2-70919b7f0dfb": 1, "c2740b39-876a-490b-8041-eaf6512cb770": 0, "c75108c6-19ec-498b-95a1-744622dc20cb": 0, "d7a2d151-28ba-46ea-909f-0e5dea39a20a": 0, "dfd3f1ea-dc38-4bdd-8eb1-7cbf335bff18": 0, "e4c0add1-c7c6-49a7-879d-17aff9abc922": 1, "ec096144-e21f-4cf0-ba40-03a3cf5ec1cd": 0}
8	5000	23	117	104	17	0.988	2	1.0	13,10	0.8	1.0	1.0	0.0	0.0	2	1.0	23	10	13	1.0	0.0	0.0	1.0	0.0	0.0		{"02ebf6c1-672e-433b-8db5-9b4e898fb120": 0, "08d54574-9e87-4ea9-b383-a9f3897abe3e": 0, "0b5e82c7-3fec-4008-8f18-8041d3904f6c": 1, "0ed2fd78-a74f-4120-b5bf-45e8c5f09005": 1, "21b17e53-fd24-44b9-b199-d9959179eaf8": 1, "2897833b-29de-4c1a-8e08-cdda8ed3e666": 0, "53f1a280-fbcd-4bfa-a971-c4fbbdb9d80f": 1, "68abb168-eff2-4ad9-b1a0-3b64567e0c1c": 1, "6aae0f08-3008-42ff-8cdf-e01e7b4ebb85": 0, "7029a9a3-b7f3-494c-9eac-2305add36048": 0, "80b527ff-9a87-4c1d-b22c-db8deb51a3c7": 0, "86e03b59-9c07-41ad-83a2-92aba5d787d3": 1, "948cffd1-2983-4982-86e4-aa5769bb2093": 1, "94a3760c-575c-448d-83b2-dc04ac37def1": 1, "9692b4a5-47fc-4096-bbb8-4127558f3495": 0, "9fa4a553-b6b9-4263-8904-c0b4396664e1": 0, "a001f270-5ff8-44bb-af8b-ff69a588dcfc": 0, "a904cb10-3f6e-4e5e-a0e2-70919b7f0dfb": 1, "d7a2d151-28ba-46ea-909f-0e5dea39a20a": 0, "e4c0add1-c7c6-49a7-879d-17aff9abc922": 1, "ec096144-e21f-4cf0-ba40-03a3cf5ec1cd": 0, "f9897e25-ab61-4279-959e-3c1535e666a5": 0, "fef75157-fff2-4763-898d-09e1da4fc25a": 0}
9	5000	28	34	14	14	0.442	1	0.929	26,1,1	0.9	1.0	0.526	0.0	1.0	1	0.0	23	15	8	0.526	0.0	1.0	0.526	0.0	1.0		{"0c746629-a078-4bda-a7dd-741f193ffebb": 0, "0f06d6aa-76ff-4cdd-bf26-f46849157096": 0, "25987fd9-0b6f-4c1d-9cff-0b4ddb7dc19b": 0, "2aa981f2-1c68-41c1-aba1-f2a3a6ace439": 0, "2ea980ee-4132-4fa0-8f2b-a3e531185d7d": 0, "34b82756-f2cd-4c4e-8158-7e17eace25de": 0, "36d0073f-c85d-4d37-a496-ead377f8dc42": 0, "46038410-7173-40e7-94d5-1b183c810558": -1, "491b6e22-55fd-4d96-9d45-6dc66bcf7de3": 0, "4d6b2250-b5c2-4692-ac7a-415d940c379e": 0, "74e8cb0e-9166-42f9-b464-9f5139a2973f": 0, "7613170d-5dc9-4176-9106-8dc818cc7294": 0, "78dcf924-63ca-46e2-9c23-bfc4c1e5d455": 0, "7b949942-5d82-4e76-af90-aebb000200ca": 0, "84858707-53b8-4981-a726-b2bb3341455a": 0, "8e0c272a-3697-470f-9abe-2c9b4f66cbde": 0, "8fbec57e-f1c2-469e-a40b-cd51139bf7c3": 0, "9d7698fe-ded2-40d1-bde1-a9532dca6200": 0, "a4697ac1-b015-4e9f-8dab-12cf34abf6e9": 0, "b2b5735c-8e09-4f2b-a67d-756d32472352": 0, "b7d304d2-dae7-4790-8ebf-62b3e89a4904": 0, "c48f3d35-5d5b-4b02-9f8d-5391062993ed": -1, "c6e4300b-0e5a-4cad-bf56-4d6c82650fe3": 0, "c93f4af4-f3f0-46c2-9104-27297c1979d5": 0, "cffc042f-554b-40a2-9bcf-caf825fe42e2": 0, "dbd28124-69f1-4c3c-8e95-4f4ecd169c59": 0, "df4f336f-c8f6-49ec-b44a-1030c15a48b2": 0, "f7c83c86-6f76-4c99-8264-84ca522edd6c": 0}
